"Firm"
"Creare, LLC"
"Environmental and Life Support Tech."
"Adventium Enterprises, LLC"
"IntelliEPI IR, Inc."
"M4 Engineering, Inc."
"Techshot, Inc."
"Metamagnetics, Inc."
"Skyre, Inc."
"ColdQuanta, Inc."
"MicroLink Devices, Inc."
"EM Photonics, Inc."
"Deployable Space Systems, Inc."
"ZONA Technology, Inc."
"CMSoft, Inc."
"Systems Technology, Inc."
"CFD Research Corporation"
"Prioria, Inc."
"Intelligent Automation, Inc."
"REI SYSTEMS"
"SibellOptics, LLC"
"Transition45 Technologies, Inc."
"Clear Science Corporation"
"ATSP Innovations"
"MesoScribe Technologies, Inc."
"Cornerstone Research Group, Inc."
"Invocon, Inc."
"Michigan Aerospace Corporation"
"The Innovation Laboratory, Inc."
"Aurora Flight Sciences Corporation"
"Physical Sciences, Inc."
"Technology in Blacksburg, Inc."
"CASCADE Technologies, Inc."
"ATA Engineering, Inc."
"Interdisciplinary Consulting Corporation"
"OPTINAV, Inc."
"Spectral Energies, LLC"
"Hersh Acoustical Engineering, Inc."
"JENTEK Sensors, Inc."
"Anasphere, Inc."
"Artium Technologies"
"Krystal Engineering LLC"
"Innovative Technology Applications, Co."
"Lynntech, Inc."
"Thermatin Industries, LLC"
"Combustion Research and Flow Technology"
"FGC Plasma Solutions"
"Advanced Fluidics, LLC"
"MetroLaser, Inc."
"Southern Air Aviation, Inc."
"Optimal Synthesis, Inc."
"Aerodyne Research, Inc."
"New Electricity Transmission Software Solutions (NETSS)"
"LaunchPoint Technologies, Inc."
"Empirical Systems Aerospace, Inc."
"Barron Associates, Inc."
"Hyper Tech Research, Inc."
"Scientific Systems Company, Inc."
"Dimension Technologies, Inc."
"Parallel Flight Technologies, Inc."
"Giner, Inc."
"US Hybrid Corporation"
"FluxMagic"
"The ExOne Company"
"Scientific Simulations, LLC"
"CU Aerospace, LLC"
"Fibertek, Inc."
"VorCat, Inc."
"Global Technology Connection, Inc."
"Nokomis, Inc."
"Actasys, Inc."
"Virtual AeroSurface Technologies"
"Creative Aero Engineering Solutions"
"Advanced Systems & Technologies, Inc."
"Qualtech Systems, Inc."
"Ophir Corporation"
"Charles River Analytics, Inc."
"D&P, LLC"
"Helden Aerospace Corporation"
"Research in Flight"
"Pointwise, Inc."
"Continuum Dynamics, Inc."
"N&R Engineering"
"Great Lakes Sound & Vibration, Inc"
"Multiscale Systems, Inc."
"Urbineer, Inc."
"Luna Innovations, Inc."
"Advanced Numerical Solutions, LLC"
"4D Tech Solutions, Inc."
"Aries Design Automation, LLC"
"Runtime Verification, Inc."
"Picometrix, LLC"
"GrammaTech, Inc."
"Additive Manufacturing Innovations, LLC"
"Trimer Technologies, LLC"
"Powdermet, Inc."
"Micro Cooling Concepts, Inc."
"Continental Controls and Design"
"Hinetics, LLC"
"Glacigen Materials, Inc."
"Solid Material Solutions, LLC"
"HARP Engineering, LLC"
"Materials Research and Design, Inc."
"Sporian Microsystems, Inc."
"Faraday Technology, Inc."
"International Electronic Machines Corporation (IEM)"
"Innovative Scientific Solutions, Inc."
"Applied University Research, Inc."
"Physical Optics Corporation"
"Nanohmics, Inc."
"Southwest Sciences, Inc."
"AeroMancer Technologies Corporation"
